,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
413,73,"Thursday, Jun 19",boxscore,BOS,@,OAK,L,2,4,,34-39,4,6.5,Kazmir,Peavy,Otero,2:39,N,24371,-,,2014
414,74,"Friday, Jun 20",boxscore,BOS,@,OAK,L,3,4,,34-40,4,7.5,Abad,Miller,Doolittle,3:21,N,28602,--,,2014
415,75,"Saturday, Jun 21",boxscore,BOS,@,OAK,L-wo,1,2,10,34-41,4,7.5,Otero,Mujica,,3:04,D,32873,---,,2014
416,76,"Sunday, Jun 22",boxscore,BOS,@,OAK,W,7,6,10,35-41,4,6.5,Uehara,Abad,,3:22,D,36067,+,,2014
417,77,"Monday, Jun 23",boxscore,BOS,@,SEA,L,3,12,,35-42,4,7.5,Hernandez,Lackey,,2:57,N,26860,-,,2014
418,78,"Tuesday, Jun 24",boxscore,BOS,@,SEA,L,2,8,,35-43,4,8.5,Beimel,Peavy,,3:14,N,20015,--,,2014
419,79,"Wednesday, Jun 25",boxscore,BOS,@,SEA,W,5,4,,36-43,4,7.5,Buchholz,Iwakuma,Uehara,2:40,N,27333,+,,2014
420,80,"Friday, Jun 27",boxscore,BOS,@,NYY,L,0,6,,36-44,4,8,Nuno,Workman,,2:42,N,48522,-,,2014
421,81,"Saturday, Jun 28",boxscore,BOS,@,NYY,W,2,1,,37-44,4,7,Lester,Tanaka,Uehara,2:47,N,48433,+,,2014
422,82,"Sunday, Jun 29",boxscore,BOS,@,NYY,W,8,5,,38-44,4,6,Lackey,Whitley,Uehara,3:38,N,48124,++,,2014
423,83,"Monday, Jun 30",boxscore,BOS,,CHC,L,0,2,,38-45,4,6.5,Arrieta,Peavy,Rondon,2:59,N,37814,-,,2014
424,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
425,84,"Tuesday, Jul 1",boxscore,BOS,,CHC,L,1,2,,38-46,4,7.5,Strop,Uehara,Rondon,3:35,N,36748,--,,2014
426,85,"Wednesday, Jul 2",boxscore,BOS,,CHC,L,9,16,,38-47,4,8.5,Villanueva,Workman,,4:19,N,37055,---,,2014
427,86,"Saturday, Jul 5 (1)",boxscore,BOS,,BAL,W-wo,3,2,,39-47,4,8,Uehara,McFarland,,2:40,D,35714,+,,2014
428,87,"Saturday, Jul 5 (2)",boxscore,BOS,,BAL,L,4,7,,39-48,4,8,Brach,Lackey,Britton,3:36,N,36468,-,2014-07-04 (Rain),2014
429,88,"Sunday, Jul 6",boxscore,BOS,,BAL,L,6,7,12,39-49,5,9,Brach,Mujica,Britton,5:05,D,35811,--,,2014
430,89,"Monday, Jul 7",boxscore,BOS,,CHW,L,0,4,,39-50,5,10,Carroll,Buchholz,,2:55,N,35114,---,,2014
431,90,"Tuesday, Jul 8",boxscore,BOS,,CHW,L,3,8,,39-51,5,10.5,Danks,Workman,,3:11,N,35345,----,,2014
432,91,"Wednesday, Jul 9",boxscore,BOS,,CHW,W-wo,5,4,,40-51,5,9.5,Uehara,Guerra,,2:54,N,36218,+,,2014
433,92,"Thursday, Jul 10",boxscore,BOS,,CHW,W-wo,4,3,10,41-51,4,9.5,Miller,Belisario,,3:22,D,37547,++,,2014
434,93,"Friday, Jul 11",boxscore,BOS,@,HOU,W,8,3,,42-51,4,9.5,Lackey,Feldman,,3:27,N,27264,+++,,2014
435,94,"Saturday, Jul 12",boxscore,BOS,@,HOU,L,2,3,,42-52,4,9.5,Fields,Peavy,Qualls,3:06,D,26322,-,,2014
436,95,"Sunday, Jul 13",boxscore,BOS,@,HOU,W,11,0,,43-52,4,9.5,Buchholz,Peacock,,3:23,D,20681,+,,2014
437,96,"Friday, Jul 18",boxscore,BOS,,KCR,W,5,4,,44-52,4,8.5,Buchholz,Downs,Uehara,3:31,N,37743,++,,2014
438,97,"Saturday, Jul 19",boxscore,BOS,,KCR,W,2,1,,45-52,4,8.5,De La Rosa,Duffy,Uehara,2:39,N,37878,+++,,2014
439,98,"Sunday, Jul 20",boxscore,BOS,,KCR,W,6,0,,46-52,4,7.5,Lester,Ventura,,2:56,D,37439,++++,,2014
440,99,"Monday, Jul 21",boxscore,BOS,@,TOR,W,14,1,,47-52,4,7.5,Lackey,Hutchison,,2:45,N,27905,+++++,,2014
441,100,"Tuesday, Jul 22",boxscore,BOS,@,TOR,L,3,7,,47-53,5,8.5,Happ,Peavy,Cecil,3:07,N,29269,-,,2014
442,101,"Wednesday, Jul 23",boxscore,BOS,@,TOR,L,4,6,,47-54,5,8.5,Dickey,Buchholz,Janssen,2:35,N,35696,--,,2014
443,102,"Thursday, Jul 24",boxscore,BOS,@,TOR,L,0,8,,47-55,5,9.5,Stroman,De La Rosa,,2:56,D,46683,---,,2014
444,103,"Friday, Jul 25",boxscore,BOS,@,TBR,L,4,6,,47-56,5,10.5,Price,Tazawa,McGee,3:04,N,23136,----,,2014
445,104,"Saturday, Jul 26",boxscore,BOS,@,TBR,L,0,3,,47-57,5,10.5,Balfour,Lackey,McGee,3:23,N,26659,-----,,2014
446,105,"Sunday, Jul 27",boxscore,BOS,@,TBR,W,3,2,,48-57,5,10.5,Webster,Archer,Uehara,3:22,D,25221,+,,2014
447,106,"Monday, Jul 28",boxscore,BOS,,TOR,L,1,14,,48-58,5,11,Dickey,Buchholz,,3:15,N,37974,-,,2014
448,107,"Tuesday, Jul 29",boxscore,BOS,,TOR,L,2,4,,48-59,5,12,Stroman,De La Rosa,Janssen,3:03,N,38275,--,,2014
449,108,"Wednesday, Jul 30",boxscore,BOS,,TOR,L,1,6,,48-60,5,13,Buehrle,Workman,,2:48,N,38203,---,,2014
450,Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
451,109,"Friday, Aug 1",boxscore,BOS,,NYY,W,4,3,,49-60,5,12.5,Ranaudo,Capuano,Uehara,3:03,N,37782,+,,2014
452,110,"Saturday, Aug 2",boxscore,BOS,,NYY,L,4,6,,49-61,5,12.5,Kelley,Webster,Robertson,3:56,D,37302,-,,2014
453,111,"Sunday, Aug 3",boxscore,BOS,,NYY,L,7,8,,49-62,5,13.5,Rogers,Breslow,Robertson,3:42,N,38035,--,,2014
454,112,"Tuesday, Aug 5",boxscore,BOS,@,STL,L,2,3,,49-63,5,15,Neshek,Tazawa,Rosenthal,3:04,N,43432,---,,2014
455,113,"Wednesday, Aug 6",boxscore,BOS,@,STL,W,2,1,,50-63,5,14,Tazawa,Rosenthal,Uehara,3:01,N,42733,+,,2014
456,114,"Thursday, Aug 7",boxscore,BOS,@,STL,L,2,5,,50-64,5,15,Wainwright,Workman,Neshek,3:08,N,44570,-,,2014
457,115,"Friday, Aug 8",boxscore,BOS,@,LAA,W,4,2,,51-64,5,15,Webster,Weaver,Uehara,3:10,N,38016,+,,2014
458,116,"Saturday, Aug 9",boxscore,BOS,@,LAA,L-wo,4,5,19,51-65,5,16,Shoemaker,Workman,,6:32,N,42159,-,,2014
459,117,"Sunday, Aug 10",boxscore,BOS,@,LAA,W,3,1,,52-65,5,15,De La Rosa,Smith,Uehara,3:03,D,36300,+,,2014
460,118,"Tuesday, Aug 12",boxscore,BOS,@,CIN,W,3,2,,53-65,5,15,Layne,Broxton,Uehara,3:05,N,35903,++,,2014
461,119,"Wednesday, Aug 13",boxscore,BOS,@,CIN,W,5,4,,54-65,5,15,Ranaudo,Leake,Mujica,3:01,D,32870,+++,,2014
462,120,"Thursday, Aug 14",boxscore,BOS,,HOU,W,9,4,,55-65,5,14.5,Webster,Feldman,,3:19,N,38065,++++,,2014
463,121,"Friday, Aug 15",boxscore,BOS,,HOU,L,3,5,10,55-66,5,14.5,Sipp,Breslow,,3:46,N,37016,-,,2014
464,122,"Saturday, Aug 16",boxscore,BOS,,HOU,W,10,7,,56-66,5,13.5,Wilson,Fields,,3:50,N,37652,+,,2014
465,123,"Sunday, Aug 17",boxscore,BOS,,HOU,L,1,8,,56-67,5,14.5,McHugh,Kelly,,3:11,D,36717,-,,2014
466,124,"Monday, Aug 18",boxscore,BOS,,LAA,L,2,4,,56-68,5,15.5,Wilson,Workman,Jepsen,3:22,N,35170,--,,2014
467,125,"Tuesday, Aug 19",boxscore,BOS,,LAA,L,3,4,,56-69,5,16.5,Smith,Uehara,Street,3:24,N,35471,---,,2014
468,126,"Wednesday, Aug 20",boxscore,BOS,,LAA,L,3,8,,56-70,5,17.5,Rasmus,Buchholz,,3:42,N,35136,----,,2014
469,127,"Thursday, Aug 21",boxscore,BOS,,LAA,L,0,2,,56-71,5,18,Shoemaker,De La Rosa,Grilli,3:10,N,36160,-----,,2014
470,128,"Friday, Aug 22",boxscore,BOS,,SEA,L,3,5,,56-72,5,18,Leone,Uehara,Rodney,3:41,N,36433,------,,2014
471,129,"Saturday, Aug 23",boxscore,BOS,,SEA,L,3,7,,56-73,5,18,Wilhelmsen,Workman,,3:28,D,36905,-------,,2014
472,130,"Sunday, Aug 24",boxscore,BOS,,SEA,L,6,8,,56-74,5,18,Leone,Webster,Rodney,4:07,D,37022,--------,,2014
473,131,"Monday, Aug 25",boxscore,BOS,@,TOR,W,4,3,10,57-74,5,18,Uehara,Sanchez,Breslow,3:07,N,26041,+,,2014
474,132,"Tuesday, Aug 26",boxscore,BOS,@,TOR,W,11,7,11,58-74,5,18,Tazawa,Janssen,,4:33,N,27321,++,,2014
475,133,"Wednesday, Aug 27",boxscore,BOS,@,TOR,L,2,5,,58-75,5,18,Stroman,Layne,Cecil,2:38,N,30285,-,,2014
476,134,"Friday, Aug 29",boxscore,BOS,@,TBR,W,8,4,,59-75,5,18.5,Ranaudo,Archer,,3:34,N,16107,+,,2014
477,135,"Saturday, Aug 30",boxscore,BOS,@,TBR,L,0,7,,59-76,5,19.5,Odorizzi,Webster,,2:48,N,17463,-,,2014
478,136,"Sunday, Aug 31",boxscore,BOS,@,TBR,W,3,0,,60-76,5,19.5,Buchholz,Cobb,,2:52,D,16822,+,,2014
479,Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
480,137,"Monday, Sep 1",boxscore,BOS,@,TBR,L-wo,3,4,10,60-77,5,19.5,Balfour,Badenhop,,3:32,D,10543,-,,2014
481,138,"Tuesday, Sep 2",boxscore,BOS,@,NYY,W,9,4,,61-77,5,19.5,Kelly,Greene,,3:28,N,40334,+,,2014
482,139,"Wednesday, Sep 3",boxscore,BOS,@,NYY,L,1,5,,61-78,5,20.5,Kuroda,Ranaudo,,3:12,N,40007,-,,2014
483,140,"Thursday, Sep 4",boxscore,BOS,@,NYY,L-wo,4,5,,61-79,5,21.5,Warren,Uehara,,3:16,N,44708,--,,2014
484,141,"Friday, Sep 5",boxscore,BOS,,TOR,W-wo,9,8,10,62-79,5,20.5,Layne,Janssen,,3:53,N,35667,+,,2014
485,142,"Saturday, Sep 6",boxscore,BOS,,TOR,W,4,3,,63-79,5,19.5,Buchholz,Happ,Mujica,3:23,N,36677,++,,2014
486,143,"Sunday, Sep 7",boxscore,BOS,,TOR,L,1,3,,63-80,5,20.5,Dickey,De La Rosa,Janssen,2:44,D,36261,-,,2014
487,144,"Monday, Sep 8",boxscore,BOS,,BAL,L,0,4,,63-81,5,21.5,Gonzalez,Kelly,,3:08,N,35894,--,,2014
488,145,"Tuesday, Sep 9",boxscore,BOS,,BAL,L,1,4,,63-82,5,22.5,Tillman,Ranaudo,Britton,3:32,N,37008,---,,2014
489,146,"Wednesday, Sep 10",boxscore,BOS,,BAL,L,6,10,,63-83,5,23.5,Chen,Workman,O'Day,3:23,D,35374,----,,2014
490,147,"Thursday, Sep 11",boxscore,BOS,@,KCR,W,6,3,,64-83,5,23,Buchholz,Hendriks,Mujica,3:28,N,28673,+,,2014
491,148,"Friday, Sep 12",boxscore,BOS,@,KCR,W,4,2,,65-83,5,23.5,Webster,Ventura,Mujica,2:49,N,19191,++,,2014
492,149,"Saturday, Sep 13",boxscore,BOS,@,KCR,L,1,7,,65-84,5,23.5,Guthrie,De La Rosa,,2:48,N,26627,-,,2014
493,150,"Sunday, Sep 14",boxscore,BOS,@,KCR,W,8,4,,66-84,5,23.5,Kelly,Vargas,,3:23,D,19065,+,,2014
494,151,"Tuesday, Sep 16",boxscore,BOS,@,PIT,L,0,4,,66-85,5,25,Morton,Ranaudo,,3:07,N,34698,-,,2014
495,152,"Wednesday, Sep 17",boxscore,BOS,@,PIT,L,1,9,,66-86,5,26,Liriano,Buchholz,,3:04,N,34785,--,,2014
496,153,"Thursday, Sep 18",boxscore,BOS,@,PIT,L,2,3,,66-87,5,26.5,Cole,Workman,Melancon,2:53,N,36862,---,,2014
497,154,"Friday, Sep 19",boxscore,BOS,@,BAL,W,5,3,10,67-87,5,25.5,Tazawa,O'Day,Mujica,3:42,N,39079,+,,2014
498,155,"Saturday, Sep 20",boxscore,BOS,@,BAL,L,2,7,,67-88,5,26.5,Tillman,De La Rosa,,2:51,N,43015,-,,2014
499,156,"Sunday, Sep 21",boxscore,BOS,@,BAL,W,3,2,,68-88,5,25.5,Kelly,Gonzalez,Mujica,3:07,D,38329,+,,2014
500,157,"Tuesday, Sep 23",boxscore,BOS,,TBR,L,2,6,,68-89,5,26,Cobb,Buchholz,,3:14,N,35566,-,,2014
501,158,"Wednesday, Sep 24",boxscore,BOS,,TBR,W,11,3,,69-89,5,26,Ranaudo,Odorizzi,,3:40,N,35741,+,,2014
502,159,"Thursday, Sep 25",boxscore,BOS,,TBR,W,11,1,,70-89,5,25,Webster,Hellickson,,3:16,N,36590,++,,2014
503,160,"Friday, Sep 26",boxscore,BOS,,NYY,L,2,3,,70-90,5,25,Capuano,Wright,Robertson,3:01,N,37605,-,,2014
504,161,"Saturday, Sep 27",boxscore,BOS,,NYY,W,10,4,,71-90,5,24,Kelly,Tanaka,,3:04,D,37147,+,,2014
505,162,"Sunday, Sep 28",boxscore,BOS,,NYY,L,5,9,,71-91,5,25,Pineda,Buchholz,,3:14,D,36879,-,,2014
506,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
507,1,"Monday, Apr 6",boxscore,BOS,@,PHI,W,8,0,,Jan-00,1,Tied,Buchholz,Hamels,,3:01,D,45549,+,,2015
508,2,"Wednesday, Apr 8",boxscore,BOS,@,PHI,L,2,4,,1-Jan,2,0.5,Harang,Porcello,Papelbon,2:54,N,26465,-,,2015
509,3,"Thursday, Apr 9",boxscore,BOS,@,PHI,W,6,2,,1-Feb,1,Tied,Masterson,Buchanan,,3:08,N,23418,+,,2015
510,4,"Friday, Apr 10",boxscore,BOS,@,NYY,W,6,5,19,1-Mar,1,Tied,Wright,Rogers,,6:49,N,41292,++,,2015
511,5,"Saturday, Apr 11",boxscore,BOS,@,NYY,W,8,4,,1-Apr,1,up 1.0,Kelly,Warren,,3:13,D,46678,+++,,2015
512,6,"Sunday, Apr 12",boxscore,BOS,@,NYY,L,4,14,,2-Apr,1,Tied,Tanaka,Buchholz,,3:24,N,43019,-,,2015
513,7,"Monday, Apr 13",boxscore,BOS,,WSN,W,9,4,,2-May,1,up 1.0,Porcello,Zimmermann,,3:01,D,37203,+,,2015
514,8,"Tuesday, Apr 14",boxscore,BOS,,WSN,W,8,7,,2-Jun,1,up 1.0,Mujica,Treinen,Uehara,3:23,N,35258,++,,2015
515,9,"Wednesday, Apr 15",boxscore,BOS,,WSN,L,5,10,,3-Jun,1,up 1.0,Gonzalez,Miley,,3:08,D,33493,-,,2015
516,10,"Friday, Apr 17",boxscore,BOS,,BAL,W-wo,3,2,,3-Jul,1,up 1.5,Uehara,Matusz,,3:13,N,34341,+,,2015
517,11,"Saturday, Apr 18",boxscore,BOS,,BAL,L,1,4,,4-Jul,1,up 1.0,Tillman,Buchholz,Britton,3:24,D,37655,-,,2015
518,12,"Sunday, Apr 19",boxscore,BOS,,BAL,L,3,8,,5-Jul,1,Tied,Gonzalez,Porcello,,3:14,D,37761,--,,2015
519,13,"Monday, Apr 20",boxscore,BOS,,BAL,W,7,1,7,5-Aug,1,up 1.0,Masterson,Chen,,2:21,D,36829,+,,2015
520,14,"Tuesday, Apr 21",boxscore,BOS,@,TBR,W,1,0,,5-Sep,1,up 2.0,Miley,Archer,Uehara,2:48,N,14307,++,,2015
521,15,"Wednesday, Apr 22",boxscore,BOS,@,TBR,L,5,7,,6-Sep,1,up 1.0,Boxberger,Mujica,Geltz,3:10,N,12733,-,,2015
522,16,"Thursday, Apr 23",boxscore,BOS,@,TBR,L-wo,1,2,,7-Sep,1,Tied,Boxberger,Varvaro,,3:00,N,13834,--,,2015
523,17,"Friday, Apr 24",boxscore,BOS,@,BAL,W,7,5,,7-Oct,1,Tied,Ogando,Matusz,Uehara,3:29,N,37359,+,,2015
524,18,"Saturday, Apr 25",boxscore,BOS,@,BAL,L-wo,4,5,10,8-Oct,1,Tied,Matusz,Uehara,,2:57,N,36757,-,,2015
525,19,"Sunday, Apr 26",boxscore,BOS,@,BAL,L,7,18,,9-Oct,3,1,Norris,Miley,,3:13,D,43802,--,,2015
526,20,"Monday, Apr 27",boxscore,BOS,,TOR,W-wo,6,5,,9-Nov,2,1,Uehara,Castro,,2:48,N,34739,+,,2015
527,21,"Tuesday, Apr 28",boxscore,BOS,,TOR,L,8,11,,10-Nov,2,2,Estrada,Buchholz,Cecil,4:01,N,33920,-,,2015
528,22,"Wednesday, Apr 29",boxscore,BOS,,TOR,W,4,1,,10-Dec,2,1,Porcello,Dickey,Uehara,2:43,N,34220,+,,2015
529,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
530,23,"Friday, May 1",boxscore,BOS,,NYY,L,2,3,,11-Dec,3,2,Rogers,Tazawa,Miller,3:14,N,35444,-,,2015
531,24,"Saturday, May 2",boxscore,BOS,,NYY,L,2,4,,12-Dec,3,3,Eovaldi,Miley,Betances,2:44,D,36611,--,,2015
532,25,"Sunday, May 3",boxscore,BOS,,NYY,L,5,8,,13-Dec,4,4,Warren,Kelly,Miller,3:52,N,33198,---,,2015
533,26,"Monday, May 4",boxscore,BOS,,TBR,L,1,5,,14-Dec,5,4,Odorizzi,Buchholz,,3:10,N,34541,----,,2015
534,27,"Tuesday, May 5",boxscore,BOS,,TBR,W,2,0,,13-14,4,4,Porcello,Smyly,Uehara,2:26,N,33688,+,,2015
535,28,"Wednesday, May 6",boxscore,BOS,,TBR,L,3,5,,13-15,5,4,Colome,Masterson,Boxberger,3:22,N,35060,-,,2015
536,29,"Friday, May 8",boxscore,BOS,@,TOR,L,0,7,,13-16,4,5.5,Sanchez,Miley,,2:41,N,30430,--,,2015
537,30,"Saturday, May 9",boxscore,BOS,@,TOR,L,1,7,,13-17,5,5.5,Hutchison,Kelly,,3:12,D,42917,---,,2015
538,31,"Sunday, May 10",boxscore,BOS,@,TOR,W,6,3,,14-17,4,5.5,Buchholz,Dickey,Uehara,2:38,D,42419,+,,2015
539,32,"Monday, May 11",boxscore,BOS,@,OAK,W,5,4,11,15-17,4,5.5,Barnes,Castro,,3:57,N,19743,++,,2015
540,33,"Tuesday, May 12",boxscore,BOS,@,OAK,L,2,9,,15-18,4,5.5,Pomeranz,Masterson,,2:32,N,24605,-,,2015
541,34,"Wednesday, May 13",boxscore,BOS,@,OAK,W,2,0,,16-18,4,4.5,Miley,Gray,Uehara,2:33,D,22389,+,,2015
542,35,"Thursday, May 14",boxscore,BOS,@,SEA,W,2,1,,17-18,3,3.5,Barnes,Rodney,Uehara,2:53,N,20172,++,,2015
543,36,"Friday, May 15",boxscore,BOS,@,SEA,L-wo,1,2,,17-19,3,3.5,Wilhelmsen,Layne,,2:32,N,39477,-,,2015
544,37,"Saturday, May 16",boxscore,BOS,@,SEA,W,4,2,,18-19,3,3.5,Porcello,Hernandez,Uehara,2:48,N,45055,+,,2015
545,38,"Sunday, May 17",boxscore,BOS,@,SEA,L,0,5,,18-20,3,3.5,Paxton,Wright,,2:31,D,39936,-,,2015
546,39,"Tuesday, May 19",boxscore,BOS,,TEX,W,4,3,,19-20,3,2.5,Miley,Gallardo,Uehara,2:50,N,36580,+,,2015
547,40,"Wednesday, May 20",boxscore,BOS,,TEX,L,1,2,,19-21,3,2.5,Klein,Kelly,Tolleson,3:13,N,35726,-,,2015
548,41,"Thursday, May 21",boxscore,BOS,,TEX,L,1,3,,19-22,4,3.5,Rodriguez,Buchholz,Tolleson,2:49,N,34945,--,,2015
549,42,"Friday, May 22",boxscore,BOS,,LAA,L,5,12,,19-23,4,4.5,Richards,Porcello,,3:35,N,36150,---,,2015
550,43,"Saturday, May 23",boxscore,BOS,,LAA,W,8,3,,20-23,4,3.5,Wright,Wilson,,3:09,N,37735,+,,2015
551,44,"Sunday, May 24",boxscore,BOS,,LAA,W,6,1,,21-23,3,2.5,Miley,Santiago,,2:37,D,37742,++,,2015
552,45,"Monday, May 25",boxscore,BOS,@,MIN,L,2,7,,21-24,4,2.5,Nolasco,Kelly,,2:52,D,29472,-,,2015
553,46,"Tuesday, May 26",boxscore,BOS,@,MIN,L,1,2,,21-25,4,3,Pelfrey,Buchholz,Perkins,2:36,N,23268,--,,2015
554,47,"Wednesday, May 27",boxscore,BOS,@,MIN,L,4,6,,21-26,4,4,Hughes,Porcello,Perkins,2:29,D,30027,---,,2015
555,48,"Thursday, May 28",boxscore,BOS,@,TEX,W,5,1,,22-26,4,3,Rodriguez,Martinez,,2:49,N,34085,+,,2015
556,49,"Friday, May 29",boxscore,BOS,@,TEX,L,4,7,,22-27,5,3,Gallardo,Wright,Tolleson,2:59,N,38176,-,,2015
557,50,"Saturday, May 30",boxscore,BOS,@,TEX,L,0,8,,22-28,5,4,Gonzalez,Miley,,2:49,N,42831,--,,2015
558,51,"Sunday, May 31",boxscore,BOS,@,TEX,L-wo,3,4,,22-29,5,4,Ohlendorf,Uehara,,3:16,D,32848,---,,2015
559,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
560,52,"Tuesday, Jun 2",boxscore,BOS,,MIN,W,1,0,,23-29,4,4.5,Buchholz,Pelfrey,Uehara,2:21,N,32622,+,,2015
561,53,"Wednesday, Jun 3 (1)",boxscore,BOS,,MIN,W,6,3,,24-29,4,5,Rodriguez,Hughes,,2:33,D,31704,++,,2015
562,54,"Wednesday, Jun 3 (2)",boxscore,BOS,,MIN,L,0,2,,24-30,4,5,May,Porcello,Perkins,2:15,N,33291,-,2015-06-01 (Rain),2015
563,55,"Thursday, Jun 4",boxscore,BOS,,MIN,L,4,8,,24-31,5,5.5,Thompson,Uehara,,3:12,D,33615,--,,2015
564,56,"Friday, Jun 5",boxscore,BOS,,OAK,W,4,2,,25-31,5,5.5,Miley,Kazmir,Uehara,2:31,N,34910,+,,2015
565,57,"Saturday, Jun 6",boxscore,BOS,,OAK,W,4,2,,26-31,4,5.5,Kelly,Chavez,Uehara,3:10,D,36713,++,,2015
566,58,"Sunday, Jun 7",boxscore,BOS,,OAK,W,7,4,,27-31,4,5.5,Wright,Clippard,Layne,3:11,D,36913,+++,,2015
567,59,"Tuesday, Jun 9",boxscore,BOS,@,BAL,L,0,1,,27-32,5,6.5,Roe,Barnes,Britton,3:08,N,28460,-,,2015
568,60,"Wednesday, Jun 10",boxscore,BOS,@,BAL,L,2,5,,27-33,5,6.5,Chen,Porcello,O'Day,2:36,N,22201,--,,2015
569,61,"Thursday, Jun 11",boxscore,BOS,@,BAL,L,5,6,,27-34,5,7,Tillman,Miley,Britton,2:39,N,22840,---,,2015
570,62,"Friday, Jun 12",boxscore,BOS,,TOR,L,10,13,,27-35,5,7,Delabar,Tazawa,Cecil,3:24,N,37575,----,,2015
571,63,"Saturday, Jun 13",boxscore,BOS,,TOR,L,4,5,11,27-36,5,7,Loup,Barnes,Cecil,3:26,D,37158,-----,,2015
572,64,"Sunday, Jun 14",boxscore,BOS,,TOR,L,5,13,,27-37,5,8,Estrada,Rodriguez,,3:12,D,36296,------,,2015
573,65,"Monday, Jun 15",boxscore,BOS,,ATL,L,2,4,,27-38,5,9,Perez,Porcello,Grilli,2:54,N,34439,-------,,2015
574,66,"Tuesday, Jun 16",boxscore,BOS,,ATL,W,9,4,,28-38,5,8,Miley,Teheran,,2:38,D,35662,+,,2015
575,67,"Wednesday, Jun 17",boxscore,BOS,@,ATL,L,2,5,,28-39,5,9,Masset,Tazawa,Grilli,3:09,N,28982,-,,2015
576,68,"Thursday, Jun 18",boxscore,BOS,@,ATL,W,5,2,,29-39,5,9,Buchholz,Miller,Uehara,3:04,N,31783,+,,2015
577,69,"Friday, Jun 19",boxscore,BOS,@,KCR,W,7,3,,30-39,5,9,Rodriguez,Pino,,2:57,N,38190,++,,2015
578,70,"Saturday, Jun 20",boxscore,BOS,@,KCR,L,4,7,,30-40,5,10,Volquez,Porcello,Holland,3:09,N,39115,-,,2015
579,71,"Sunday, Jun 21",boxscore,BOS,@,KCR,W,13,2,,31-40,5,9,Miley,Young,,2:58,D,37975,+,,2015
580,72,"Tuesday, Jun 23",boxscore,BOS,,BAL,L,4,6,,31-41,5,9.5,Jimenez,Kelly,Britton,3:08,N,36508,-,,2015
581,73,"Wednesday, Jun 24",boxscore,BOS,,BAL,W,5,1,,32-41,5,8.5,Buchholz,Norris,,2:38,N,37762,+,,2015
582,74,"Thursday, Jun 25",boxscore,BOS,,BAL,L,6,8,,32-42,5,9,Gonzalez,Rodriguez,Britton,3:06,D,37706,-,,2015
583,75,"Friday, Jun 26",boxscore,BOS,@,TBR,W,4,3,10,33-42,5,8,Ogando,Geltz,Uehara,3:23,N,17508,+,,2015
584,76,"Saturday, Jun 27",boxscore,BOS,@,TBR,L,1,4,,33-43,5,9,Andriese,Miley,Boxberger,2:21,D,23876,-,,2015
585,77,"Sunday, Jun 28",boxscore,BOS,@,TBR,W,5,3,,34-43,5,8,Masterson,Archer,Uehara,3:02,D,21963,+,,2015
586,78,"Monday, Jun 29",boxscore,BOS,@,TOR,W,3,1,,35-43,5,7,Buchholz,Dickey,Uehara,2:26,N,27107,++,,2015
587,79,"Tuesday, Jun 30",boxscore,BOS,@,TOR,W,4,3,,36-43,5,6,Rodriguez,Estrada,Uehara,3:04,N,28942,+++,,2015
588,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
589,80,"Wednesday, Jul 1",boxscore,BOS,@,TOR,L,2,11,,36-44,5,7,Buehrle,Porcello,,2:19,D,45392,-,,2015
590,81,"Thursday, Jul 2",boxscore,BOS,@,TOR,W,12,6,,37-44,5,6,Miley,Boyd,,3:34,N,29758,+,,2015
591,82,"Friday, Jul 3",boxscore,BOS,,HOU,L,8,12,10,37-45,5,7,Hernandez,Ramirez,,4:23,N,37837,-,,2015
592,83,"Saturday, Jul 4",boxscore,BOS,,HOU,W,6,1,,38-45,5,7,Buchholz,McHugh,,3:02,D,36703,+,,2015
593,84,"Sunday, Jul 5",boxscore,BOS,,HOU,W,5,4,,39-45,5,6,Barnes,Sipp,Uehara,4:01,D,36481,++,,2015
594,85,"Tuesday, Jul 7",boxscore,BOS,,MIA,W,4,3,,40-45,5,5,Tazawa,Cishek,Uehara,2:44,N,36863,+++,,2015
