,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
678,3,"Friday, Apr 8",boxscore,BOS,@,TOR,W,8,7,,1-Feb,2,1.5,Barnes,Storen,Kimbrel,3:24,N,48871,+,,2016
679,4,"Saturday, Apr 9",boxscore,BOS,@,TOR,W,8,4,,1-Mar,2,1,Porcello,Dickey,,2:48,D,47138,++,,2016
680,5,"Sunday, Apr 10",boxscore,BOS,@,TOR,L,0,3,,2-Mar,2,2,Estrada,Wright,Osuna,2:27,D,46158,-,,2016
681,6,"Monday, Apr 11",boxscore,BOS,,BAL,L,7,9,,3-Mar,3,3,Brach,Kimbrel,Britton,3:26,D,37160,--,,2016
682,7,"Tuesday, Apr 12",boxscore,BOS,,BAL,L,5,9,,4-Mar,3,4,Wright,Buchholz,,3:23,N,31114,---,,2016
683,8,"Wednesday, Apr 13",boxscore,BOS,,BAL,W,4,2,,4-Apr,3,3,Kelly,Jimenez,Kimbrel,3:13,N,31011,+,,2016
684,9,"Friday, Apr 15",boxscore,BOS,,TOR,W,5,3,,4-May,2,2.5,Porcello,Dickey,Kimbrel,3:02,N,31415,++,,2016
685,10,"Saturday, Apr 16",boxscore,BOS,,TOR,W,4,2,,4-Jun,2,1.5,Price,Estrada,Kimbrel,2:43,D,36267,+++,,2016
686,11,"Sunday, Apr 17",boxscore,BOS,,TOR,L,3,5,,5-Jun,2,2,Sanchez,Wright,,3:09,D,37217,-,,2016
687,12,"Monday, Apr 18",boxscore,BOS,,TOR,L,3,4,,6-Jun,2,2.5,Happ,Uehara,Storen,3:12,D,37168,--,,2016
688,13,"Tuesday, Apr 19",boxscore,BOS,,TBR,L,0,3,10,7-Jun,3,2.5,Ramirez,Barnes,Colome,3:25,N,32061,---,,2016
689,14,"Wednesday, Apr 20",boxscore,BOS,,TBR,W,7,3,,7-Jul,2,2.5,Porcello,Archer,,3:02,N,31689,+,,2016
690,15,"Thursday, Apr 21",boxscore,BOS,,TBR,L,8,12,,8-Jul,2,3.5,Ramirez,Cuevas,Colome,4:16,D,37954,-,,2016
691,16,"Friday, Apr 22",boxscore,BOS,@,HOU,W,6,2,,8-Aug,2,2.5,Wright,McHugh,Kimbrel,3:28,N,26672,+,,2016
692,17,"Saturday, Apr 23",boxscore,BOS,@,HOU,L,3,8,,9-Aug,2,3.5,Fiers,Buchholz,,3:28,D,40232,-,,2016
693,18,"Sunday, Apr 24",boxscore,BOS,@,HOU,W,7,5,12,9-Sep,2,2.5,Hembree,Giles,,5:03,N,32416,+,,2016
694,19,"Monday, Apr 25",boxscore,BOS,@,ATL,W,1,0,,9-Oct,2,1.5,Porcello,Teheran,Kimbrel,2:55,N,22735,++,,2016
